order_id,program,supplier,category,order_date,promised_date,actual_date,unit_cost,quantity,days_late,on_time,at_risk,supplier_trending_late,total_cost
ORD-1026,Program-C,Delta Avionics,Avionics,2024-06-22,2024-07-06,2024-07-05,4681.39,25,-1,True,False,False,117034.75000000001
ORD-1027,Program-F,Vantage Precision,Avionics,2023-08-12,2023-08-26,2023-08-30,846.0,5,4,False,False,False,4230.0
ORD-1028,Program-B,Delta Avionics,Electrical,2024-08-19,2024-10-03,2024-10-06,2494.77,25,3,False,False,False,62369.25
ORD-1029,Program-C,Aerostar Components,Electrical,2023-11-22,2023-12-22,2023-12-24,1257.75,100,2,False,False,True,125775.0
ORD-1030,Program-F,Orbital Systems,Electrical,2024-06-27,2024-07-27,2024-07-30,2905.67,1,3,False,False,False,2905.67
ORD-1031,Program-E,Vantage Precision,Avionics,2023-06-18,2023-07-18,2023-07-21,4973.03,100,3,False,False,False,497303.0
ORD-1032,Program-E,Delta Avionics,Fasteners,2023-08-11,2023-08-25,2023-10-07,2169.51,50,43,False,True,False,108475.50000000001
ORD-1033,Program-C,Vantage Precision,Fasteners,2023-06-26,2023-08-25,2023-08-22,1618.76,5,-3,True,False,False,8093.8
ORD-1034,Program-A,Northfield Machining,Fasteners,2024-02-22,2024-03-14,2024-03-16,1825.3,10,2,False,False,False,18253.0
ORD-1035,Program-B,Northfield Machining,Electrical,2024-05-24,2024-06-07,2024-06-16,1503.28,5,9,False,False,False,7516.4
ORD-1036,Program-C,Northfield Machining,Fasteners,2024-07-01,2024-07-22,2024-07-22,4001.56,1,0,True,False,False,4001.56
ORD-1037,Program-F,Delta Avionics,Fasteners,2023-07-22,2023-09-05,2023-09-07,1674.36,5,2,False,False,False,8371.8
ORD-1038,Program-F,Orbital Systems,Fasteners,2024-05-31,2024-06-14,2024-06-16,1551.16,10,2,False,False,False,15511.6
ORD-1039,Program-D,Orbital Systems,Electrical,2024-04-06,2024-05-21,2024-06-11,472.47,50,21,False,True,False,23623.5
ORD-1040,Program-D,Delta Avionics,Electrical,2024-01-18,2024-03-03,2024-03-01,2605.69,100,-2,True,False,False,260569.0
ORD-1041,Program-C,Aerostar Components,Electrical,2023-09-18,2023-10-09,2023-10-10,962.45,100,1,False,False,True,96245.0
ORD-1042,Program-A,Vantage Precision,Electrical,2023-04-14,2023-04-28,2023-04-30,514.67,1,2,False,False,False,514.67
ORD-1043,Program-E,Orbital Systems,Avionics,2023-11-07,2024-01-06,2024-01-05,1276.27,10,-1,True,False,False,12762.7
ORD-1044,Program-E,Delta Avionics,Structural,2023-03-11,2023-05-10,2023-05-12,4284.53,25,2,False,False,False,107113.25
ORD-1045,Program-E,Vantage Precision,Structural,2024-04-03,2024-06-02,2024-05-30,2350.14,50,-3,True,False,False,117507.0
ORD-1046,Program-B,Northfield Machining,Fasteners,2024-06-16,2024-07-31,2024-07-29,4670.51,1,-2,True,False,False,4670.51
ORD-1047,Program-E,Orbital Systems,Structural,2023-02-12,2023-03-05,2023-03-04,4014.7,25,-1,True,False,False,100367.5
ORD-1048,Program-B,Delta Avionics,Avionics,2023-10-02,2023-11-01,2023-11-15,1961.21,1,14,False,True,False,1961.21
ORD-1049,Program-B,Delta Avionics,Structural,2023-02-11,2023-03-04,2023-03-02,3430.88,1,-2,True,False,False,3430.88
ORD-1050,Program-B,Orbital Systems,Fasteners,2023-01-14,2023-02-04,2023-02-04,3479.81,5,0,True,False,False,17399.05
ORD-1051,Program-E,Delta Avionics,Fasteners,2024-03-17,2024-05-16,2024-06-03,928.33,1,18,False,True,False,928.33
ORD-1052,Program-C,Aerostar Components,Avionics,2023-03-18,2023-04-01,2023-04-11,4342.23,50,10,False,False,True,217111.49999999997
ORD-1053,Program-D,Aerostar Components,Avionics,2024-03-19,2024-04-18,2024-04-15,2694.92,25,-3,True,False,True,67373.0
ORD-1054,Program-A,Delta Avionics,Structural,2023-03-01,2023-04-15,2023-04-12,4243.36,1,-3,True,False,False,4243.36
ORD-1055,Program-D,Delta Avionics,Avionics,2023-10-17,2023-11-07,2023-11-08,503.94,25,1,False,False,False,12598.5
ORD-1056,Program-A,Vantage Precision,Avionics,2024-03-27,2024-04-10,2024-04-11,2497.38,100,1,False,False,False,249738.0
ORD-1057,Program-B,Orbital Systems,Avionics,2023-11-24,2023-12-24,2023-12-24,3455.75,5,0,True,False,False,17278.75
ORD-1058,Program-D,Aerostar Components,Structural,2023-02-20,2023-04-21,2023-04-18,4118.21,5,-3,True,False,True,20591.05
ORD-1059,Program-B,Orbital Systems,Electrical,2023-05-20,2023-07-19,2023-07-19,1221.59,1,0,True,False,False,1221.59
ORD-1060,Program-E,Vantage Precision,Electrical,2024-02-29,2024-03-30,2024-04-07,3540.17,5,8,False,False,False,17700.85
ORD-1061,Program-B,Delta Avionics,Structural,2023-10-23,2023-12-22,2023-12-24,328.7,25,2,False,False,False,8217.5
ORD-1062,Program-E,Aerostar Components,Avionics,2024-02-13,2024-03-29,2024-05-10,1464.27,1,42,False,True,True,1464.27
ORD-1063,Program-F,Orbital Systems,Uncategorized,2023-01-08,2023-03-09,2023-03-10,264.83,50,1,False,False,False,13241.5
ORD-1064,Program-C,Vantage Precision,Structural,2023-11-29,2024-01-13,2024-01-10,1123.21,1,-3,True,False,False,1123.21
ORD-1065,Program-E,Delta Avionics,Avionics,2024-06-24,2024-07-08,2024-08-01,4754.54,100,24,False,True,False,475454.0
ORD-1066,Program-D,Vantage Precision,Electrical,2023-04-12,2023-05-27,2023-05-25,1185.5,25,-2,True,False,False,29637.5
ORD-1067,Program-D,Orbital Systems,Uncategorized,2024-08-14,2024-08-28,2024-08-29,4078.29,25,1,False,False,False,101957.25
ORD-1068,Program-E,Orbital Systems,Fasteners,2024-05-08,2024-05-29,2024-05-30,3086.41,5,1,False,False,False,15432.05
ORD-1069,Program-B,Delta Avionics,Fasteners,2023-01-28,2023-02-11,2023-02-15,4937.02,1,4,False,False,False,4937.02
ORD-1070,Program-C,Orbital Systems,Avionics,2023-08-24,2023-09-23,2023-09-26,2370.03,10,3,False,False,False,23700.300000000003
ORD-1071,Program-A,Orbital Systems,Structural,2024-06-02,2024-06-16,2024-06-17,4983.35,50,1,False,False,False,249167.50000000003
ORD-1072,Program-E,Orbital Systems,Fasteners,2024-05-24,2024-06-07,2024-06-04,689.34,10,-3,True,False,False,6893.400000000001
ORD-1073,Program-E,Orbital Systems,Structural,2024-06-10,2024-07-01,2024-06-29,2515.92,100,-2,True,False,False,251592.0
ORD-1074,Program-F,Delta Avionics,Electrical,2024-05-26,2024-07-10,2024-07-12,3969.5,1,2,False,False,False,3969.5
ORD-1075,Program-E,Orbital Systems,Avionics,2024-04-28,2024-06-12,2024-07-14,2970.09,100,32,False,True,False,297009.0
ORD-1076,Program-C,Delta Avionics,Fasteners,2023-07-28,2023-08-11,2023-08-25,1524.9,5,14,False,True,False,7624.5
ORD-1077,Program-C,Aerostar Components,Fasteners,2023-03-30,2023-04-13,2023-04-13,377.87,50,0,True,False,True,18893.5
ORD-1078,Program-B,Delta Avionics,Electrical,2023-07-17,2023-08-16,2023-08-15,425.52,1,-1,True,False,False,425.52
ORD-1079,Program-C,Delta Avionics,Avionics,2023-04-19,2023-06-03,2023-06-02,4377.87,10,-1,True,False,False,43778.7
ORD-1080,Program-E,Northfield Machining,Avionics,2023-05-15,2023-07-14,2023-07-14,1770.72,100,0,True,False,False,177072.0
ORD-1081,Program-E,Delta Avionics,Structural,2023-10-04,2023-10-25,2023-10-28,2541.92,50,3,False,False,False,127096.0
ORD-1082,Program-C,Aerostar Components,Structural,2023-10-16,2023-11-15,2023-12-28,62.85,25,43,False,True,True,1571.25
ORD-1083,Program-A,Aerostar Components,Avionics,2024-08-14,2024-09-04,2024-09-14,3616.55,5,10,False,False,True,18082.75
ORD-1084,Program-F,Delta Avionics,Structural,2024-03-04,2024-04-03,2024-04-04,4342.71,100,1,False,False,False,434271.0
ORD-1085,Program-C,Delta Avionics,Structural,2023-06-11,2023-08-10,2023-08-07,4211.51,100,-3,True,False,False,421151.0
ORD-1086,Program-B,Delta Avionics,Structural,2024-06-18,2024-08-02,2024-07-31,3956.4,50,-2,True,False,False,197820.0
ORD-1087,Program-B,Vantage Precision,Electrical,2023-12-19,2024-01-02,2023-12-31,1454.69,100,-2,True,False,False,145469.0
ORD-1088,Program-D,Northfield Machining,Avionics,2023-05-27,2023-06-26,2023-07-15,4671.77,50,19,False,True,False,233588.50000000003
ORD-1089,Program-F,Orbital Systems,Structural,2023-05-28,2023-07-12,2023-07-22,4488.99,10,10,False,False,False,44889.899999999994
ORD-1090,Program-C,Orbital Systems,Uncategorized,2023-03-09,2023-03-30,2023-03-29,4334.26,100,-1,True,False,False,433426.0
ORD-1091,Program-F,Aerostar Components,Electrical,2024-03-09,2024-03-23,2024-04-05,2879.48,10,13,False,True,True,28794.8
ORD-1092,Program-E,Vantage Precision,Structural,2024-08-03,2024-09-17,2024-09-14,3694.42,25,-3,True,False,False,92360.5
ORD-1093,Program-A,Northfield Machining,Avionics,2023-02-22,2023-03-24,2023-04-20,2686.32,1,27,False,True,False,2686.32
ORD-1094,Program-F,Northfield Machining,Electrical,2023-11-26,2023-12-17,2024-01-13,3438.63,25,27,False,True,False,85965.75
ORD-1095,Program-A,Orbital Systems,Structural,2023-03-12,2023-04-11,2023-04-08,4261.1,25,-3,True,False,False,106527.50000000001
ORD-1096,Program-D,Northfield Machining,Structural,2024-03-14,2024-03-28,2024-03-27,2783.92,100,-1,True,False,False,278392.0
ORD-1097,Program-D,Orbital Systems,Structural,2024-04-22,2024-06-06,2024-06-07,972.7,10,1,False,False,False,9727.0
ORD-1098,Program-C,Delta Avionics,Electrical,2023-08-04,2023-10-03,2023-10-01,4092.17,100,-2,True,False,False,409217.0
ORD-1099,Program-C,Orbital Systems,Electrical,2024-03-24,2024-04-07,2024-04-04,1987.84,5,-3,True,False,False,9939.199999999999
ORD-1100,Program-F,Orbital Systems,Fasteners,2024-01-10,2024-02-09,2024-02-08,3157.15,5,-1,True,False,False,15785.75
ORD-1101,Program-D,Orbital Systems,Electrical,2024-03-20,2024-04-19,2024-04-27,3774.4,50,8,False,False,False,188720.0
ORD-1102,Program-E,Delta Avionics,Avionics,2023-01-21,2023-02-11,2023-02-24,3785.44,100,13,False,True,False,378544.0
ORD-1103,Program-F,Orbital Systems,Structural,2024-05-22,2024-07-06,2024-07-07,2722.31,50,1,False,False,False,136115.5
ORD-1104,Program-D,Vantage Precision,Avionics,2023-01-08,2023-02-07,2023-02-13,3595.09,10,6,False,False,False,35950.9
ORD-1105,Program-E,Vantage Precision,Structural,2024-06-29,2024-07-20,2024-08-15,4563.67,100,26,False,True,False,456367.0
ORD-1106,Program-B,Aerostar Components,Structural,2024-03-11,2024-04-10,2024-04-28,4597.82,50,18,False,True,True,229891.0
ORD-1107,Program-E,Northfield Machining,Avionics,2023-08-13,2023-08-27,2023-08-28,566.02,1,1,False,False,False,566.02
ORD-1108,Program-F,Delta Avionics,Electrical,2023-03-09,2023-05-08,2023-05-08,667.08,1,0,True,False,False,667.08
ORD-1109,Program-A,Delta Avionics,Electrical,2023-12-21,2024-02-19,2024-02-20,1709.23,25,1,False,False,False,42730.75
ORD-1110,Program-A,Orbital Systems,Avionics,2023-03-10,2023-04-24,2023-04-23,4618.65,5,-1,True,False,False,23093.25
ORD-1111,Program-C,Northfield Machining,Fasteners,2023-12-19,2024-01-18,2024-01-17,1278.72,1,-1,True,False,False,1278.72
ORD-1112,Program-D,Delta Avionics,Structural,2023-07-06,2023-09-04,2023-09-06,1139.48,5,2,False,False,False,5697.4
ORD-1113,Program-E,Aerostar Components,Structural,2024-07-30,2024-08-13,2024-08-15,2783.92,50,2,False,False,True,139196.0
ORD-1114,Program-A,Aerostar Components,Electrical,2023-08-27,2023-09-26,2023-09-25,1779.47,100,-1,True,False,True,177947.0
ORD-1115,Program-E,Aerostar Components,Structural,2023-10-11,2023-11-10,2023-11-12,3584.59,5,2,False,False,True,17922.95
ORD-1116,Program-B,Delta Avionics,Electrical,2023-08-29,2023-09-28,2023-09-25,1705.1,10,-3,True,False,False,17051.0
ORD-1117,Program-B,Northfield Machining,Fasteners,2023-11-12,2023-11-26,2023-11-26,4206.95,50,0,True,False,False,210347.5
ORD-1118,Program-A,Aerostar Components,Structural,2023-05-19,2023-06-18,2023-06-20,1729.39,50,2,False,False,True,86469.5
ORD-1119,Program-C,Delta Avionics,Avionics,2023-05-23,2023-06-13,2023-06-23,3625.22,100,10,False,False,False,362522.0
ORD-1120,Program-C,Vantage Precision,Fasteners,2023-03-26,2023-04-16,2023-04-13,1079.04,10,-3,True,False,False,10790.4
ORD-1121,Program-E,Delta Avionics,Avionics,2023-09-10,2023-10-01,2023-10-20,1742.0,5,19,False,True,False,8710.0
ORD-1122,Program-B,Delta Avionics,Avionics,2023-06-10,2023-08-09,2023-08-11,1845.65,50,2,False,False,False,92282.5
ORD-1123,Program-D,Delta Avionics,Fasteners,2024-04-03,2024-04-17,2024-04-27,4927.57,1,10,False,False,False,4927.57
ORD-1124,Program-B,Delta Avionics,Electrical,2024-03-21,2024-04-11,2024-04-08,739.81,10,-3,True,False,False,7398.099999999999
ORD-1125,Program-F,Vantage Precision,Structural,2024-06-24,2024-07-15,2024-07-14,4121.79,50,-1,True,False,False,206089.5
ORD-1126,Program-B,Vantage Precision,Electrical,2023-02-10,2023-04-11,2023-04-23,3615.0,50,12,False,True,False,180750.0
ORD-1127,Program-B,Delta Avionics,Structural,2024-06-24,2024-07-24,2024-07-24,3183.84,50,0,True,False,False,159192.0
ORD-1128,Program-B,Orbital Systems,Fasteners,2023-08-31,2023-09-21,2023-09-19,873.1,10,-2,True,False,False,8731.0
ORD-1129,Program-A,Delta Avionics,Structural,2024-04-07,2024-06-06,2024-06-05,1810.58,1,-1,True,False,False,1810.58
ORD-1130,Program-C,Delta Avionics,Fasteners,2023-08-26,2023-10-25,2023-10-23,204.36,25,-2,True,False,False,5109.0
ORD-1131,Program-C,Delta Avionics,Fasteners,2024-05-22,2024-06-21,2024-06-19,3135.5,5,-2,True,False,False,15677.5
ORD-1132,Program-E,Aerostar Components,Structural,2024-03-12,2024-03-26,2024-04-05,2202.4,10,10,False,False,True,22024.0
ORD-1133,Program-C,Northfield Machining,Avionics,2024-02-21,2024-03-13,2024-03-14,2620.45,10,1,False,False,False,26204.5
ORD-1134,Program-A,Orbital Systems,Avionics,2024-02-19,2024-03-04,2024-03-06,4792.95,10,2,False,False,False,47929.5
ORD-1135,Program-E,Aerostar Components,Avionics,2024-02-20,2024-03-05,2024-03-31,1144.99,5,26,False,True,True,5724.95
ORD-1136,Program-A,Orbital Systems,Avionics,2023-01-27,2023-02-10,2023-02-11,2392.39,100,1,False,False,False,239239.0
ORD-1137,Program-E,Aerostar Components,Structural,2023-03-11,2023-04-10,2023-05-12,3738.07,25,32,False,True,True,93451.75
ORD-1138,Program-C,Northfield Machining,Electrical,2024-01-22,2024-02-21,2024-02-22,430.92,50,1,False,False,False,21546.0
ORD-1139,Program-C,Northfield Machining,Avionics,2023-02-09,2023-02-23,2023-02-25,1627.82,5,2,False,False,False,8139.099999999999
ORD-1140,Program-A,Orbital Systems,Avionics,2023-05-20,2023-06-19,2023-07-02,4379.77,50,13,False,True,False,218988.50000000003
ORD-1141,Program-B,Delta Avionics,Structural,2023-01-06,2023-03-07,2023-03-14,2424.92,25,7,False,False,False,60623.0
ORD-1142,Program-A,Northfield Machining,Structural,2023-07-21,2023-09-04,2023-09-07,596.85,100,3,False,False,False,59685.0
ORD-1143,Program-F,Northfield Machining,Structural,2023-05-21,2023-06-04,2023-06-05,4939.23,1,1,False,False,False,4939.23
ORD-1144,Program-A,Aerostar Components,Avionics,2023-05-11,2023-06-01,2023-06-08,492.58,100,7,False,False,True,49258.0
ORD-1145,Program-F,Delta Avionics,Fasteners,2024-08-16,2024-09-30,2024-09-30,4197.24,100,0,True,False,False,419724.0
ORD-1146,Program-E,Delta Avionics,Electrical,2023-05-19,2023-06-09,2023-06-06,972.87,10,-3,True,False,False,9728.7
ORD-1147,Program-F,Orbital Systems,Structural,2024-08-04,2024-08-18,2024-08-18,4974.79,50,0,True,False,False,248739.5
ORD-1148,Program-C,Northfield Machining,Electrical,2023-10-22,2023-11-05,2023-11-04,1160.98,50,-1,True,False,False,58049.0
ORD-1149,Program-A,Aerostar Components,Fasteners,2024-05-31,2024-06-30,2024-07-05,1401.15,50,5,False,False,True,70057.5
ORD-1150,Program-A,Delta Avionics,Uncategorized,2024-06-01,2024-06-15,2024-06-12,2776.74,10,-3,True,False,False,27767.399999999998
ORD-1151,Program-B,Vantage Precision,Electrical,2023-06-05,2023-08-04,2023-08-02,451.18,25,-2,True,False,False,11279.5
ORD-1152,Program-E,Vantage Precision,Structural,2024-05-25,2024-07-24,2024-07-25,4537.24,10,1,False,False,False,45372.399999999994
ORD-1153,Program-B,Delta Avionics,Fasteners,2024-03-16,2024-04-15,2024-04-29,4260.38,10,14,False,True,False,42603.8
ORD-1154,Program-A,Orbital Systems,Fasteners,2024-02-23,2024-03-15,2024-03-14,3775.95,50,-1,True,False,False,188797.5
ORD-1155,Program-C,Orbital Systems,Fasteners,2023-01-18,2023-02-08,2023-02-07,1181.69,5,-1,True,False,False,5908.450000000001
ORD-1156,Program-D,Northfield Machining,Fasteners,2023-11-01,2023-11-22,2023-11-24,2534.58,1,2,False,False,False,2534.58
ORD-1157,Program-A,Northfield Machining,Avionics,2023-11-20,2023-12-20,2023-12-19,3817.09,5,-1,True,False,False,19085.45
ORD-1158,Program-A,Northfield Machining,Electrical,2024-01-15,2024-03-15,2024-03-15,910.08,25,0,True,False,False,22752.0
ORD-1159,Program-B,Vantage Precision,Electrical,2024-02-29,2024-03-14,2024-03-11,336.71,10,-3,True,False,False,3367.1
ORD-1160,Program-B,Northfield Machining,Uncategorized,2024-02-10,2024-03-26,2024-03-31,2992.26,25,5,False,False,False,74806.5
ORD-1161,Program-E,Delta Avionics,Fasteners,2023-08-12,2023-09-11,2023-09-09,836.74,5,-2,True,False,False,4183.7
ORD-1162,Program-E,Vantage Precision,Electrical,2023-09-28,2023-11-27,2023-12-03,4207.74,100,6,False,False,False,420774.0
ORD-1163,Program-D,Delta Avionics,Structural,2024-06-04,2024-07-19,2024-07-20,4720.9,50,1,False,False,False,236044.99999999997
ORD-1164,Program-C,Vantage Precision,Electrical,2023-06-14,2023-07-14,2023-07-12,4475.79,5,-2,True,False,False,22378.95
ORD-1165,Program-E,Delta Avionics,Structural,2024-01-27,2024-03-12,2024-03-12,2392.39,25,0,True,False,False,59809.75
ORD-1166,Program-F,Aerostar Components,Fasteners,2024-04-10,2024-05-10,2024-05-16,138.42,50,6,False,False,True,6920.999999999999
ORD-1167,Program-D,Orbital Systems,Fasteners,2024-08-03,2024-09-17,2024-09-28,56.1,1,11,False,True,False,56.1
ORD-1168,Program-F,Vantage Precision,Structural,2023-12-02,2023-12-16,2023-12-18,2930.76,50,2,False,False,False,146538.0
ORD-1169,Program-B,Delta Avionics,Uncategorized,2023-03-31,2023-05-30,2023-05-28,2425.7,100,-2,True,False,False,242569.99999999997
ORD-1170,Program-C,Orbital Systems,Avionics,2024-07-25,2024-08-08,2024-08-10,3758.35,1,2,False,False,False,3758.35
ORD-1171,Program-A,Vantage Precision,Uncategorized,2023-03-27,2023-05-11,2023-05-23,3890.23,5,12,False,True,False,19451.15
ORD-1172,Program-D,Aerostar Components,Electrical,2023-02-22,2023-04-23,2023-04-24,438.96,100,1,False,False,True,43896.0
ORD-1173,Program-B,Delta Avionics,Avionics,2024-02-18,2024-03-10,2024-03-22,879.04,1,12,False,True,False,879.04
ORD-1174,Program-C,Orbital Systems,Avionics,2023-01-19,2023-02-02,2023-01-30,3559.85,5,-3,True,False,False,17799.25
ORD-1175,Program-D,Delta Avionics,Avionics,2024-01-03,2024-02-02,2024-02-08,3007.51,100,6,False,False,False,300751.0
ORD-1176,Program-B,Delta Avionics,Structural,2023-04-09,2023-05-09,2023-05-23,2783.92,50,14,False,True,False,139196.0
ORD-1177,Program-A,Orbital Systems,Avionics,2023-07-17,2023-08-31,2023-09-09,2196.59,10,9,False,False,False,21965.9
ORD-1178,Program-D,Northfield Machining,Structural,2024-01-27,2024-03-27,2024-04-19,2491.72,25,23,False,True,False,62292.99999999999
ORD-1179,Program-B,Delta Avionics,Avionics,2023-02-13,2023-02-27,2023-03-02,4347.95,5,3,False,False,False,21739.75
ORD-1180,Program-E,Vantage Precision,Avionics,2024-03-17,2024-05-01,2024-04-29,4341.81,1,-2,True,False,False,4341.81
ORD-1181,Program-D,Northfield Machining,Avionics,2023-10-20,2023-11-10,2023-11-10,2137.52,5,0,True,False,False,10687.6
ORD-1182,Program-C,Delta Avionics,Structural,2023-08-04,2023-09-03,2023-09-04,3678.91,10,1,False,False,False,36789.1
ORD-1183,Program-B,Vantage Precision,Fasteners,2023-04-18,2023-06-02,2023-05-31,945.84,50,-2,True,False,False,47292.0
ORD-1184,Program-F,Orbital Systems,Electrical,2023-02-28,2023-04-29,2023-04-26,3329.98,100,-3,True,False,False,332998.0
ORD-1185,Program-A,Delta Avionics,Electrical,2023-08-28,2023-09-27,2023-09-30,3878.69,25,3,False,False,False,96967.25
ORD-1186,Program-E,Delta Avionics,Fasteners,2023-09-23,2023-10-14,2023-10-14,4152.97,1,0,True,False,False,4152.97
ORD-1187,Program-E,Vantage Precision,Avionics,2024-07-23,2024-08-06,2024-08-06,1927.83,10,0,True,False,False,19278.3
ORD-1188,Program-E,Orbital Systems,Electrical,2024-04-14,2024-05-29,2024-05-31,1068.91,50,2,False,False,False,53445.50000000001
ORD-1189,Program-D,Northfield Machining,Uncategorized,2023-03-15,2023-05-14,2023-06-26,3218.01,10,43,False,True,False,32180.100000000002
ORD-1190,Program-F,Orbital Systems,Fasteners,2023-07-09,2023-07-23,2023-07-23,784.3,50,0,True,False,False,39215.0
ORD-1191,Program-B,Delta Avionics,Structural,2024-07-25,2024-08-15,2024-09-05,2300.96,10,21,False,True,False,23009.6
ORD-1192,Program-B,Vantage Precision,Electrical,2023-03-17,2023-05-16,2023-05-14,1049.17,5,-2,True,False,False,5245.85
ORD-1193,Program-E,Aerostar Components,Avionics,2023-04-04,2023-06-03,2023-07-02,3478.5,5,29,False,True,True,17392.5
ORD-1194,Program-C,Northfield Machining,Structural,2023-05-27,2023-06-17,2023-06-27,3854.17,10,10,False,False,False,38541.7
ORD-1195,Program-A,Delta Avionics,Fasteners,2023-12-27,2024-02-25,2024-03-07,577.64,25,11,False,True,False,14441.0
ORD-1196,Program-B,Northfield Machining,Avionics,2023-07-10,2023-07-24,2023-07-25,3922.81,50,1,False,False,False,196140.5
ORD-1197,Program-A,Delta Avionics,Fasteners,2023-08-31,2023-10-15,2023-10-23,4511.81,50,8,False,False,False,225590.50000000003
ORD-1198,Program-A,Delta Avionics,Fasteners,2023-08-14,2023-08-28,2023-08-25,1863.98,50,-3,True,False,False,93199.0
ORD-1199,Program-C,Vantage Precision,Electrical,2023-12-24,2024-01-07,2024-01-09,412.32,10,2,False,False,False,4123.2
ORD-1200,Program-F,Delta Avionics,Avionics,2023-10-06,2023-11-05,2023-11-03,2421.95,50,-2,True,False,False,121097.49999999999
ORD-1201,Program-E,Northfield Machining,Structural,2023-03-31,2023-05-30,2023-05-30,3059.13,100,0,True,False,False,305913.0
ORD-1202,Program-F,Northfield Machining,Avionics,2023-11-09,2024-01-08,2024-01-09,4495.25,1,1,False,False,False,4495.25
ORD-1203,Program-D,Delta Avionics,Electrical,2023-04-29,2023-06-28,2023-06-26,873.34,25,-2,True,False,False,21833.5
ORD-1204,Program-E,Vantage Precision,Avionics,2024-07-11,2024-08-25,2024-08-23,3071.15,5,-2,True,False,False,15355.75
ORD-1205,Program-B,Aerostar Components,Uncategorized,2024-05-08,2024-06-07,2024-06-07,948.12,50,0,True,False,True,47406.0
ORD-1206,Program-A,Northfield Machining,Structural,2024-07-04,2024-08-18,2024-08-20,2783.92,50,2,False,False,False,139196.0
ORD-1207,Program-B,Delta Avionics,Structural,2024-01-18,2024-03-18,2024-03-29,3979.03,5,11,False,True,False,19895.15
