order_id,program,supplier,category,order_date,promised_date,actual_date,unit_cost,quantity
ORD-1058,Program-D,Aerostar Components,Structural,2023-02-20,2023-04-21,2023-04-18,4118.21,5
ORD-1059,Program-B,  orbital systems  ,Electrical,2023-05-20,2023-07-19,2023-07-19,1221.59,1
ORD-1060,Program-E,Vantage Precision,Electrical,2024-02-29,2024-03-30,2024-04-07,3540.17,5
ORD-1061,Program-B,Delta Avionics,Structural,2023-10-23,2023-12-22,2023-12-24,328.7,25
ORD-1062,Program-E,Aerostar Components,Avionics,2024-02-13,2024-03-29,2024-05-10,1464.27,1
ORD-1063,Program-F,  orbital systems  ,nan,2023-01-08,2023-03-09,2023-03-10,264.83,50
ORD-1064,Program-C,Vantage Precision,Structural,2023-11-29,2024-01-13,2024-01-10,1123.21,1
ORD-1065,Program-E,Delta avionics,Avionics,2024-06-24,2024-07-08,2024-08-01,4754.54,100
ORD-1066,Program-D,Vantage Precision,Electrical,2023-04-12,2023-05-27,2023-05-25,1185.5,25
ORD-1067,Program-D,  orbital systems  ,nan,2024-08-14,2024-08-28,2024-08-29,4078.29,25
ORD-1068,Program-E,  orbital systems  ,Fasteners,2024-05-08,2024-05-29,2024-05-30,3086.41,5
ORD-1069,Program-B,Delta avionics,Fasteners,2023-01-28,2023-02-11,2023-02-15,4937.02,1
ORD-1070,Program-C,  orbital systems  ,Avionics,2023-08-24,2023-09-23,2023-09-26,2370.03,10
ORD-1071,Program-A,  orbital systems  ,Structural,2024-06-02,2024-06-16,2024-06-17,4983.35,50
ORD-1072,Program-E,  orbital systems  ,Fasteners,2024-05-24,2024-06-07,2024-06-04,689.34,10
ORD-1073,Program-E,  orbital systems  ,Structural,2024-06-10,2024-07-01,2024-06-29,2515.92,100
ORD-1074,Program-F,Delta Avionics,Electrical,2024-05-26,2024-07-10,2024-07-12,3969.5,1
ORD-1075,Program-E,  orbital systems  ,Avionics,2024-04-28,2024-06-12,2024-07-14,2970.09,100
ORD-1076,Program-C,Delta Avionics,Fasteners,2023-07-28,2023-08-11,2023-08-25,1524.9,5
ORD-1077,Program-C,Aerostar Components,Fasteners,2023-03-30,2023-04-13,2023-04-13,377.87,50
ORD-1078,Program-B,Delta avionics,Electrical,2023-07-17,2023-08-16,2023-08-15,425.52,1
ORD-1079,Program-C,Delta avionics,Avionics,2023-04-19,2023-06-03,2023-06-02,4377.87,10
ORD-1080,Program-E,NorthField Machining,Avionics,2023-05-15,2023-07-14,2023-07-14,1770.72,100
ORD-1081,Program-E,Delta avionics,Structural,2023-10-04,2023-10-25,2023-10-28,2541.92,50
ORD-1082,Program-C,Aerostar Components,Structural,2023-10-16,2023-11-15,2023-12-28,62.85,25
ORD-1083,Program-A,Aerostar Components,Avionics,2024-08-14,2024-09-04,2024-09-14,3616.55,5
ORD-1084,Program-F,Delta Avionics,Structural,2024-03-04,2024-04-03,2024-04-04,4342.71,100
ORD-1085,Program-C,Delta Avionics,Structural,2023-06-11,2023-08-10,2023-08-07,4211.51,100
ORD-1086,Program-B,Delta avionics,Structural,2024-06-18,2024-08-02,2024-07-31,3956.4,50
ORD-1087,Program-B,Vantage Precision,Electrical,2023-12-19,2024-01-02,2023-12-31,1454.69,100
ORD-1088,Program-D,NorthField Machining,Avionics,2023-05-27,2023-06-26,2023-07-15,4671.77,50
ORD-1089,Program-F,  orbital systems  ,Structural,2023-05-28,2023-07-12,2023-07-22,4488.99,10
ORD-1090,Program-C,  orbital systems  ,nan,2023-03-09,2023-03-30,2023-03-29,4334.26,100
ORD-1091,Program-F,Aerostar Components,Electrical,2024-03-09,2024-03-23,2024-04-05,2879.48,10
ORD-1092,Program-E,Vantage Precision,Structural,2024-08-03,2024-09-17,2024-09-14,3694.42,25
ORD-1093,Program-A,NorthField Machining,Avionics,2023-02-22,2023-03-24,2023-04-20,2686.32,1
ORD-1094,Program-F,NorthField Machining,Electrical,2023-11-26,2023-12-17,2024-01-13,3438.63,25
ORD-1095,Program-A,  orbital systems  ,Structural,2023-03-12,2023-04-11,2023-04-08,4261.1,25
ORD-1096,Program-D,NorthField Machining,Structural,2024-03-14,2024-03-28,2024-03-27,,100
ORD-1097,Program-D,  orbital systems  ,Structural,2024-04-22,2024-06-06,2024-06-07,972.7,10
ORD-1098,Program-C,Delta avionics,Electrical,2023-08-04,2023-10-03,2023-10-01,4092.17,100
ORD-1099,Program-C,  orbital systems  ,Electrical,2024-03-24,2024-04-07,2024-04-04,1987.84,5
ORD-1100,Program-F,  orbital systems  ,Fasteners,2024-01-10,2024-02-09,2024-02-08,3157.15,5
ORD-1101,Program-D,  orbital systems  ,Electrical,2024-03-20,2024-04-19,2024-04-27,3774.4,50
ORD-1102,Program-E,Delta Avionics,Avionics,2023-01-21,2023-02-11,2023-02-24,3785.44,100
ORD-1103,Program-F,  orbital systems  ,Structural,2024-05-22,2024-07-06,2024-07-07,2722.31,50
ORD-1104,Program-D,Vantage Precision,Avionics,2023-01-08,2023-02-07,2023-02-13,3595.09,10
ORD-1105,Program-E,Vantage Precision,Structural,2024-06-29,2024-07-20,2024-08-15,4563.67,100
ORD-1106,Program-B,Aerostar Components,Structural,2024-03-11,2024-04-10,2024-04-28,4597.82,50
ORD-1107,Program-E,NorthField Machining,Avionics,2023-08-13,2023-08-27,2023-08-28,566.02,1
ORD-1108,Program-F,Delta Avionics,Electrical,2023-03-09,2023-05-08,2023-05-08,667.08,1
ORD-1109,Program-A,Delta avionics,Electrical,2023-12-21,2024-02-19,2024-02-20,1709.23,25
ORD-1110,Program-A,  orbital systems  ,Avionics,2023-03-10,2023-04-24,2023-04-23,4618.65,5
ORD-1111,Program-C,NorthField Machining,Fasteners,2023-12-19,2024-01-18,2024-01-17,1278.72,1
ORD-1112,Program-D,Delta avionics,Structural,2023-07-06,2023-09-04,2023-09-06,1139.48,5
ORD-1113,Program-E,Aerostar Components,Structural,2024-07-30,2024-08-13,2024-08-15,,50
ORD-1114,Program-A,Aerostar Components,Electrical,2023-08-27,2023-09-26,2023-09-25,1779.47,100
ORD-1115,Program-E,Aerostar Components,Structural,2023-10-11,2023-11-10,2023-11-12,3584.59,5
ORD-1116,Program-B,Delta avionics,Electrical,2023-08-29,2023-09-28,2023-09-25,1705.1,10
ORD-1117,Program-B,NorthField Machining,Fasteners,2023-11-12,2023-11-26,2023-11-26,4206.95,50
ORD-1118,Program-A,Aerostar Components,Structural,2023-05-19,2023-06-18,2023-06-20,1729.39,50
ORD-1119,Program-C,Delta Avionics,Avionics,2023-05-23,2023-06-13,2023-06-23,3625.22,100
ORD-1120,Program-C,Vantage Precision,Fasteners,2023-03-26,2023-04-16,2023-04-13,1079.04,10
ORD-1121,Program-E,Delta Avionics,Avionics,2023-09-10,2023-10-01,2023-10-20,1742.0,5
ORD-1122,Program-B,Delta Avionics,Avionics,2023-06-10,2023-08-09,2023-08-11,1845.65,50
ORD-1123,Program-D,Delta Avionics,Fasteners,2024-04-03,2024-04-17,2024-04-27,4927.57,1
ORD-1124,Program-B,Delta Avionics,Electrical,2024-03-21,2024-04-11,2024-04-08,739.81,10
ORD-1125,Program-F,Vantage Precision,Structural,2024-06-24,2024-07-15,2024-07-14,4121.79,50
ORD-1126,Program-B,Vantage Precision,Electrical,2023-02-10,2023-04-11,2023-04-23,3615.0,50
ORD-1127,Program-B,Delta avionics,Structural,2024-06-24,2024-07-24,2024-07-24,3183.84,50
ORD-1128,Program-B,  orbital systems  ,Fasteners,2023-08-31,2023-09-21,2023-09-19,873.1,10
ORD-1129,Program-A,Delta Avionics,Structural,2024-04-07,2024-06-06,2024-06-05,1810.58,1
ORD-1130,Program-C,Delta Avionics,Fasteners,2023-08-26,2023-10-25,2023-10-23,204.36,25
ORD-1131,Program-C,Delta Avionics,Fasteners,2024-05-22,2024-06-21,2024-06-19,3135.5,5
ORD-1132,Program-E,Aerostar Components,Structural,2024-03-12,2024-03-26,2024-04-05,2202.4,10
ORD-1133,Program-C,NorthField Machining,Avionics,2024-02-21,2024-03-13,2024-03-14,,10
ORD-1134,Program-A,  orbital systems  ,Avionics,2024-02-19,2024-03-04,2024-03-06,4792.95,10
ORD-1135,Program-E,Aerostar Components,Avionics,2024-02-20,2024-03-05,2024-03-31,1144.99,5
ORD-1136,Program-A,  orbital systems  ,Avionics,2023-01-27,2023-02-10,2023-02-11,2392.39,100
ORD-1137,Program-E,Aerostar Components,Structural,2023-03-11,2023-04-10,2023-05-12,3738.07,25
ORD-1138,Program-C,NorthField Machining,Electrical,2024-01-22,2024-02-21,2024-02-22,430.92,50
ORD-1139,Program-C,NorthField Machining,Avionics,2023-02-09,2023-02-23,2023-02-25,1627.82,5
ORD-1140,Program-A,  orbital systems  ,Avionics,2023-05-20,2023-06-19,2023-07-02,4379.77,50
ORD-1141,Program-B,Delta Avionics,Structural,2023-01-06,2023-03-07,2023-03-14,2424.92,25
ORD-1142,Program-A,NorthField Machining,Structural,2023-07-21,2023-09-04,2023-09-07,596.85,100
ORD-1143,Program-F,NorthField Machining,Structural,2023-05-21,2023-06-04,2023-06-05,4939.23,1
ORD-1144,Program-A,Aerostar Components,Avionics,2023-05-11,2023-06-01,2023-06-08,492.58,100
ORD-1145,Program-F,Delta Avionics,Fasteners,2024-08-16,2024-09-30,2024-09-30,4197.24,100
ORD-1146,Program-E,Delta Avionics,Electrical,2023-05-19,2023-06-09,2023-06-06,972.87,10
ORD-1147,Program-F,  orbital systems  ,Structural,2024-08-04,2024-08-18,2024-08-18,4974.79,50
ORD-1148,Program-C,NorthField Machining,Electrical,2023-10-22,2023-11-05,2023-11-04,1160.98,50
ORD-1149,Program-A,Aerostar Components,Fasteners,2024-05-31,2024-06-30,2024-07-05,1401.15,50
ORD-1150,Program-A,Delta Avionics,nan,2024-06-01,2024-06-15,2024-06-12,2776.74,10
ORD-1151,Program-B,Vantage Precision,Electrical,2023-06-05,2023-08-04,2023-08-02,451.18,25
ORD-1152,Program-E,Vantage Precision,Structural,2024-05-25,2024-07-24,2024-07-25,4537.24,10
ORD-1153,Program-B,Delta Avionics,Fasteners,2024-03-16,2024-04-15,2024-04-29,4260.38,10
ORD-1154,Program-A,  orbital systems  ,Fasteners,2024-02-23,2024-03-15,2024-03-14,3775.95,50
ORD-1155,Program-C,  orbital systems  ,Fasteners,2023-01-18,2023-02-08,2023-02-07,1181.69,5
ORD-1156,Program-D,NorthField Machining,Fasteners,2023-11-01,2023-11-22,2023-11-24,,1
ORD-1157,Program-A,NorthField Machining,Avionics,2023-11-20,2023-12-20,2023-12-19,3817.09,5
ORD-1158,Program-A,NorthField Machining,Electrical,2024-01-15,2024-03-15,2024-03-15,910.08,25
ORD-1159,Program-B,Vantage Precision,Electrical,2024-02-29,2024-03-14,2024-03-11,336.71,10
ORD-1160,Program-B,NorthField Machining,nan,2024-02-10,2024-03-26,2024-03-31,2992.26,25
ORD-1161,Program-E,Delta Avionics,Fasteners,2023-08-12,2023-09-11,2023-09-09,836.74,5
ORD-1162,Program-E,Vantage Precision,Electrical,2023-09-28,2023-11-27,2023-12-03,4207.74,100
ORD-1163,Program-D,Delta avionics,Structural,2024-06-04,2024-07-19,2024-07-20,4720.9,50
ORD-1164,Program-C,Vantage Precision,Electrical,2023-06-14,2023-07-14,2023-07-12,4475.79,5
ORD-1165,Program-E,Delta Avionics,Structural,2024-01-27,2024-03-12,2024-03-12,2392.39,25
ORD-1166,Program-F,Aerostar Components,Fasteners,2024-04-10,2024-05-10,2024-05-16,138.42,50
ORD-1167,Program-D,  orbital systems  ,Fasteners,2024-08-03,2024-09-17,2024-09-28,56.1,1
ORD-1168,Program-F,Vantage Precision,Structural,2023-12-02,2023-12-16,2023-12-18,2930.76,50
ORD-1169,Program-B,Delta Avionics,nan,2023-03-31,2023-05-30,2023-05-28,2425.7,100
ORD-1170,Program-C,  orbital systems  ,Avionics,2024-07-25,2024-08-08,2024-08-10,3758.35,1
ORD-1171,Program-A,Vantage Precision,nan,2023-03-27,2023-05-11,2023-05-23,3890.23,5
ORD-1172,Program-D,Aerostar Components,Electrical,2023-02-22,2023-04-23,2023-04-24,438.96,100
ORD-1173,Program-B,Delta avionics,Avionics,2024-02-18,2024-03-10,2024-03-22,879.04,1
ORD-1174,Program-C,  orbital systems  ,Avionics,2023-01-19,2023-02-02,2023-01-30,3559.85,5
ORD-1175,Program-D,Delta avionics,Avionics,2024-01-03,2024-02-02,2024-02-08,3007.51,100
ORD-1176,Program-B,Delta Avionics,Structural,2023-04-09,2023-05-09,2023-05-23,,50
ORD-1177,Program-A,  orbital systems  ,Avionics,2023-07-17,2023-08-31,2023-09-09,2196.59,10
ORD-1178,Program-D,NorthField Machining,Structural,2024-01-27,2024-03-27,2024-04-19,2491.72,25
ORD-1179,Program-B,Delta Avionics,Avionics,2023-02-13,2023-02-27,2023-03-02,4347.95,5
ORD-1180,Program-E,Vantage Precision,Avionics,2024-03-17,2024-05-01,2024-04-29,4341.81,1
ORD-1181,Program-D,NorthField Machining,Avionics,2023-10-20,2023-11-10,2023-11-10,2137.52,5
ORD-1182,Program-C,Delta Avionics,Structural,2023-08-04,2023-09-03,2023-09-04,3678.91,10
ORD-1183,Program-B,Vantage Precision,Fasteners,2023-04-18,2023-06-02,2023-05-31,945.84,50
ORD-1184,Program-F,  orbital systems  ,Electrical,2023-02-28,2023-04-29,2023-04-26,3329.98,100
ORD-1185,Program-A,Delta Avionics,Electrical,2023-08-28,2023-09-27,2023-09-30,3878.69,25
ORD-1186,Program-E,Delta Avionics,Fasteners,2023-09-23,2023-10-14,2023-10-14,4152.97,1
ORD-1187,Program-E,Vantage Precision,Avionics,2024-07-23,2024-08-06,2024-08-06,1927.83,10
ORD-1188,Program-E,  orbital systems  ,Electrical,2024-04-14,2024-05-29,2024-05-31,1068.91,50
ORD-1189,Program-D,NorthField Machining,nan,2023-03-15,2023-05-14,2023-06-26,3218.01,10
ORD-1190,Program-F,  orbital systems  ,Fasteners,2023-07-09,2023-07-23,2023-07-23,784.3,50
ORD-1191,Program-B,Delta Avionics,Structural,2024-07-25,2024-08-15,2024-09-05,2300.96,10
ORD-1192,Program-B,Vantage Precision,Electrical,2023-03-17,2023-05-16,2023-05-14,1049.17,5
ORD-1193,Program-E,Aerostar Components,Avionics,2023-04-04,2023-06-03,2023-07-02,3478.5,5
ORD-1194,Program-C,NorthField Machining,Structural,2023-05-27,2023-06-17,2023-06-27,3854.17,10
ORD-1195,Program-A,Delta avionics,Fasteners,2023-12-27,2024-02-25,2024-03-07,577.64,25
ORD-1196,Program-B,NorthField Machining,Avionics,2023-07-10,2023-07-24,2023-07-25,3922.81,50
ORD-1197,Program-A,Delta Avionics,Fasteners,2023-08-31,2023-10-15,2023-10-23,4511.81,50
ORD-1198,Program-A,Delta Avionics,Fasteners,2023-08-14,2023-08-28,2023-08-25,1863.98,50
ORD-1199,Program-C,Vantage Precision,Electrical,2023-12-24,2024-01-07,2024-01-09,412.32,10
ORD-1200,Program-F,Delta avionics,Avionics,2023-10-06,2023-11-05,2023-11-03,2421.95,50
ORD-1201,Program-E,NorthField Machining,Structural,2023-03-31,2023-05-30,2023-05-30,3059.13,100
ORD-1202,Program-F,NorthField Machining,Avionics,2023-11-09,2024-01-08,2024-01-09,4495.25,1
ORD-1203,Program-D,Delta Avionics,Electrical,2023-04-29,2023-06-28,2023-06-26,873.34,25
ORD-1204,Program-E,Vantage Precision,Avionics,2024-07-11,2024-08-25,2024-08-23,3071.15,5
ORD-1205,Program-B,Aerostar Components,nan,2024-05-08,2024-06-07,2024-06-07,948.12,50
ORD-1206,Program-A,NorthField Machining,Structural,2024-07-04,2024-08-18,2024-08-20,,50
ORD-1207,Program-B,Delta Avionics,Structural,2024-01-18,2024-03-18,2024-03-29,3979.03,5
ORD-1208,Program-B,Aerostar Components,Fasteners,2024-06-24,2024-07-08,2024-07-09,1545.2,10
ORD-1209,Program-D,Vantage Precision,Avionics,2024-04-30,2024-05-30,2024-05-27,2148.53,50
ORD-1210,Program-A,Delta Avionics,Fasteners,2023-10-11,2023-12-10,2023-12-11,3227.76,25
ORD-1211,Program-C,NorthField Machining,Structural,2024-01-15,2024-01-29,2024-01-27,1408.97,50
ORD-1212,Program-B,Delta Avionics,Electrical,2023-09-25,2023-10-09,2023-10-18,1738.4,100
ORD-1213,Program-C,Vantage Precision,Avionics,2023-12-14,2024-02-12,2024-02-13,4476.24,10
ORD-1214,Program-A,Aerostar Components,Structural,2023-08-01,2023-09-15,2023-09-15,,50
ORD-1215,Program-D,Delta Avionics,Avionics,2023-06-12,2023-07-03,2023-07-17,,10
ORD-1216,Program-F,Delta avionics,Structural,2023-08-16,2023-08-30,2023-10-06,2352.77,100
ORD-1217,Program-D,NorthField Machining,nan,2023-04-16,2023-04-30,2023-04-28,528.55,1
ORD-1218,Program-D,Aerostar Components,Electrical,2024-08-11,2024-09-10,2024-10-07,643.15,10
ORD-1219,Program-F,  orbital systems  ,Avionics,2024-04-06,2024-04-20,2024-04-27,510.0,100
ORD-1220,Program-B,Aerostar Components,Avionics,2023-11-01,2023-12-16,2023-12-22,1550.49,5
ORD-1221,Program-E,NorthField Machining,Electrical,2023-07-27,2023-08-10,2023-08-09,4135.17,100
ORD-1222,Program-B,Vantage Precision,Fasteners,2023-04-08,2023-05-08,2023-05-08,4264.55,5
ORD-1223,Program-D,Aerostar Components,Structural,2024-05-05,2024-06-04,2024-06-16,4346.88,100
ORD-1224,Program-C,Vantage Precision,Fasteners,2023-07-13,2023-08-12,2023-08-10,1156.89,100
ORD-1225,Program-D,NorthField Machining,Avionics,2024-05-08,2024-05-22,2024-05-19,4617.65,100
ORD-1226,Program-A,Delta avionics,Fasteners,2024-05-12,2024-06-26,2024-06-23,4134.74,50
ORD-1227,Program-E,NorthField Machining,Structural,2023-01-16,2023-01-30,2023-01-31,2770.17,25
ORD-1228,Program-E,Delta avionics,Fasteners,2023-06-16,2023-08-15,2023-08-13,3268.5,10
ORD-1229,Program-C,  orbital systems  ,Avionics,2023-10-03,2023-10-24,2023-10-22,336.01,1
ORD-1230,Program-C,Aerostar Components,Structural,2023-03-14,2023-04-13,2023-04-13,,25
ORD-1231,Program-A,  orbital systems  ,Avionics,2023-07-03,2023-08-17,2023-08-25,,50
ORD-1232,Program-D,Delta avionics,Avionics,2023-08-01,2023-08-31,2023-09-02,925.59,50
ORD-1233,Program-F,  orbital systems  ,Structural,2023-09-07,2023-10-07,2023-10-09,1336.08,5
ORD-1234,Program-B,  orbital systems  ,Structural,2023-01-08,2023-01-29,2023-01-30,4017.61,50
ORD-1235,Program-D,Aerostar Components,Structural,2023-11-25,2024-01-24,2024-02-02,788.73,100
ORD-1236,Program-D,NorthField Machining,Electrical,2024-03-18,2024-04-17,2024-04-17,4304.85,5
ORD-1237,Program-E,NorthField Machining,Fasteners,2024-07-27,2024-08-10,2024-08-21,,25
ORD-1238,Program-E,Aerostar Components,Fasteners,2023-01-24,2023-03-10,2023-03-24,3204.15,5
ORD-1239,Program-C,Delta avionics,Avionics,2024-01-04,2024-02-18,2024-02-19,793.34,25
ORD-1240,Program-A,  orbital systems  ,Structural,2023-01-23,2023-02-22,2023-02-27,402.72,1
ORD-1241,Program-E,Vantage Precision,Avionics,2023-07-31,2023-09-14,2023-09-13,3323.78,25
ORD-1242,Program-C,Delta Avionics,Electrical,2023-11-26,2023-12-17,2023-12-17,4499.56,1
ORD-1243,Program-A,NorthField Machining,Avionics,2023-01-07,2023-02-21,2023-02-23,392.81,1
ORD-1244,Program-B,Delta avionics,Fasteners,2023-07-13,2023-08-27,2023-08-25,3029.31,50
ORD-1245,Program-D,NorthField Machining,Structural,2023-07-22,2023-08-12,2023-08-09,1911.16,100
ORD-1246,Program-D,NorthField Machining,Avionics,2024-07-19,2024-09-02,2024-09-01,4440.28,50
ORD-1247,Program-C,NorthField Machining,Fasteners,2024-05-31,2024-06-14,2024-06-12,3198.55,100
ORD-1248,Program-E,Delta avionics,Fasteners,2024-03-13,2024-04-27,2024-04-29,3778.28,1
ORD-1249,Program-F,Vantage Precision,Structural,2023-04-09,2023-06-08,2023-06-14,4098.04,10
ORD-1250,Program-D,  orbital systems  ,Electrical,2024-03-30,2024-04-13,2024-04-15,2846.86,50
ORD-1251,Program-F,Vantage Precision,Avionics,2024-04-01,2024-04-22,2024-04-19,3721.47,10
ORD-1252,Program-A,Vantage Precision,Structural,2023-08-29,2023-09-19,2023-09-30,2797.67,100
ORD-1253,Program-C,Delta Avionics,Avionics,2023-08-14,2023-08-28,2023-08-30,4247.84,5
ORD-1254,Program-F,Vantage Precision,Avionics,2023-05-02,2023-05-23,2023-05-29,1668.31,10
ORD-1255,Program-F,Delta Avionics,nan,2023-08-09,2023-10-08,2023-10-06,4436.67,10
ORD-1256,Program-B,  orbital systems  ,Avionics,2023-01-02,2023-03-03,2023-03-05,1809.69,1
ORD-1257,Program-E,Vantage Precision,Electrical,2024-06-08,2024-08-07,2024-08-08,2920.92,25
ORD-1258,Program-D,Delta avionics,Electrical,2023-12-26,2024-01-25,2024-01-25,1644.43,100
ORD-1259,Program-C,Delta avionics,Avionics,2024-03-23,2024-04-13,2024-04-19,2610.48,50
ORD-1260,Program-D,Delta avionics,Electrical,2023-09-18,2023-10-09,2023-10-06,3011.22,10
ORD-1261,Program-C,Aerostar Components,Fasteners,2024-01-21,2024-02-04,2024-02-04,3938.98,10
ORD-1262,Program-F,Delta avionics,Avionics,2024-03-19,2024-04-09,2024-04-06,2849.47,5
ORD-1263,Program-B,Delta Avionics,Structural,2023-01-15,2023-03-16,2023-03-29,1528.69,50
ORD-1264,Program-C,NorthField Machining,Fasteners,2023-05-16,2023-07-15,2023-07-22,2430.48,50
